,Name,Data,Occupation,Location,Phone,Address
0,Architect Hair Design,"         324 James St N, Hamilton, ON L8L 1H2, Canada        , +1 905-524-2724        , 747M+QR Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         324 James St N, Hamilton, ON L8L 1H2, Canada        , +1 905-524-2724        , 747M+QR Hamilton, Ontario, Canada        "
1,Split Ave Barbershop and Salon,"         836 Upper James St Unit 104, Hamilton, ON L9C 3A4, Canada        , +1 905-385-5250        , 64H8+8X Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         836 Upper James St Unit 104, Hamilton, ON L9C 3A4, Canada        , +1 905-385-5250        , 64H8+8X Hamilton, Ontario, Canada        "
2,Fademaster Barbershop,"         582 Upper Wellington St, Hamilton, ON L9A 3P9, Canada        , +1 905-701-2887        , 64QM+85 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         582 Upper Wellington St, Hamilton, ON L9A 3P9, Canada        , +1 905-701-2887        , 64QM+85 Hamilton, Ontario, Canada        "
3,Bens Barber Shop and Hair Salon,"         601 Upper James St #2, Hamilton, ON L9C 2Y7, Canada        , +1 905-538-0950        , 64QF+V9 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         601 Upper James St #2, Hamilton, ON L9C 2Y7, Canada        , +1 905-538-0950        , 64QF+V9 Hamilton, Ontario, Canada        "
4,Bonsai Barber Lounge INC.,"         536 Upper Wellington St, Hamilton, ON L9A 3P5, Canada        , +1 905-383-1101        , 64QM+R9 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         536 Upper Wellington St, Hamilton, ON L9A 3P5, Canada        , +1 905-383-1101        , 64QM+R9 Hamilton, Ontario, Canada        "
5,AG Cuts,"         720 Upper James St, Hamilton, ON L9C 2Z9, Canada        , +1 905-730-0965        , 64J9+JJ Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         720 Upper James St, Hamilton, ON L9C 2Z9, Canada        , +1 905-730-0965        , 64J9+JJ Hamilton, Ontario, Canada        "
6,Frontline Unisex Hair Design,"         53 Young St, Hamilton, ON L8N 1V1, Canada        , +1 905-527-1886        , 742J+98 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         53 Young St, Hamilton, ON L8N 1V1, Canada        , +1 905-527-1886        , 742J+98 Hamilton, Ontario, Canada        "
7,Monaco Cuts,"         453 Concession St, Hamilton, ON L9A 1C1, Canada        , +1 905-388-5678        , 64RV+RM Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         453 Concession St, Hamilton, ON L9A 1C1, Canada        , +1 905-388-5678        , 64RV+RM Hamilton, Ontario, Canada        "
8,Vintage Agro Barber Shop,"         736 Upper James St, Hamilton, ON L9C 3A2, Canada        , +1 905-383-9031        , 64J9+5F Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         736 Upper James St, Hamilton, ON L9C 3A2, Canada        , +1 905-383-9031        , 64J9+5F Hamilton, Ontario, Canada        "
9,ANDIAMO,"         102 George St, Hamilton, ON L8P 1E2, Canada        , +1 905-524-2894        , 745C+CP Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         102 George St, Hamilton, ON L8P 1E2, Canada        , +1 905-524-2894        , 745C+CP Hamilton, Ontario, Canada        "
10,Barberia (Neville's Barber Shop),"         447 King St E, Hamilton, ON L8N 1C5, Canada        , +1 289-244-3195        , 743V+6P Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         447 King St E, Hamilton, ON L8N 1C5, Canada        , +1 289-244-3195        , 743V+6P Hamilton, Ontario, Canada        "
11,The barber on Locke,"         82 Locke St S, Hamilton, ON L8P 4B4, Canada        , +1 365-999-1333        , 7458+C6 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         82 Locke St S, Hamilton, ON L8P 4B4, Canada        , +1 365-999-1333        , 7458+C6 Hamilton, Ontario, Canada        "
