,Name,Occupation,Location,Phone,Address
0,Spa at Four Seasons Toronto,Spa,Toronto Ontario,         +1 416-964-0411        ,"         60 Yorkville Ave, Toronto, ON M4W 0A4, Canada        ,         Floor 1 · Four Seasons Hotel Toronto        ,         book4time.com        "
1,Elmwood Spa,Spa,Toronto Ontario,         +1 416-977-6751        ,"         18 Elm St, Toronto, ON M5G 1G7, Canada        ,         elmwoodspa.com        "
2,Sweetgrass Spa Toronto,Spa,Toronto Ontario,         +1 416-368-5300        ,"         111e Queen St E, Toronto, ON M5C 1S5, Canada        "
3,Novo Spa,Spa,Toronto Ontario,         +1 416-926-9303        ,"         66 Avenue Rd, Toronto, ON M5R 3N8, Canada        ,         book4time.com        "
4,Guerlain Spa at Hotel X Toronto,Spa,Toronto Ontario,         +1 647-475-9288        ,"         111 Princes' Blvd, Toronto, ON M6K 3C3, Canada        ,         Located in: Hotel X Toronto by Library Hotel Collection        ,         book4time.com        "
5,Hammam Spa by Céla King West,Spa,Toronto Ontario,         +1 416-366-4772        ,"         602 King St W, Toronto, ON M5V 1M6, Canada        ,         secure-booker.com        "
6,SpaZen Toronto,Spa,Toronto Ontario,         +1 416-350-2424        ,"         8 Colborne St, Toronto, ON M5E 1E1, Canada        "
7,Miraj Hammam Spa,Spa,Toronto Ontario,         +1 647-253-5770        ,"         188 University Ave, Toronto, ON M5H 0A3, Canada        "
8,"Healthwinds, The Health and Wellness Spa",Spa,Toronto Ontario,         +1 416-488-9545        ,"         650 Mt Pleasant Rd, Toronto, ON M4S 2N5, Canada        ,         healthwindsspas.com        "
9,Bahn Thai Spa Traditional Thai Massage and Wellness Centre,Spa,Toronto Ontario,         +1 416-594-3406        ,"         136 Adelaide St E, Toronto, ON M5C 1K9, Canada        ,         bahnthaispa.com        "
10,Spa InterContinental | Toronto,Spa,Toronto Ontario,         +1 416-646-5838        ,"         225 Front St W, Toronto, ON M5V 2X3, Canada        ,         Located in: 277 Front Street West        ,         spatime.com        "
11,Body Blitz Spa West,Spa,Toronto Ontario,         +1 416-364-0400        ,"         471 Adelaide St W, Toronto, ON M5V 1T1, Canada        ,         book4time.com        "
12,Elmspa,Spa,Toronto Ontario,         +1 416-964-4500        ,"         557 Church St, Toronto, ON M4Y 2E2, Canada        ,         elmspa.ca        "
13,Spa myBlend,Spa,Toronto Ontario,         +1 416-572-8000        ,"         181 Wellington St W, Toronto, ON M5V 3G7, Canada        ,         Located in: The Ritz-Carlton, Toronto        ,         marriott.com        "
14,Serenity Spa and Lounge,Spa,Toronto Ontario,         +1 416-979-2153        ,"         The Icon, 238 Wellington St W, Toronto, ON M5V 3W1, Canada        "
15,Body Blitz Spa East,Spa,Toronto Ontario,         +1 416-364-0400        ,"         497 King St E, Toronto, ON M5A 1L9, Canada        ,         book4time.com        "
